Id,ValorVencido,Sexo,EstadoCivil,DataNascimento,ValorPago
13225,"113,39",F,SOLTEIRO,1976-06-27 00:00:00,"113,39"
13226,"174,94",F,SOLTEIRO,1982-08-02 00:00:00,"174,94"
13227,"1.951,92",M,CASADO,1962-06-06 00:00:00,300
13228,"100,26",F,CASADO,1980-06-13 00:00:00,"100,26"
13229,"1.398,05",M,SOLTEIRO,1983-06-28 00:00:00,200
13230,"503,64",F,CASADO,1980-07-14 00:00:00,"503,64"
13231,"53,67",M,CASADO,1984-02-22 00:00:00,"53,67"
13232,"263,96",F,CASADO,1990-04-11 00:00:00,"263,96"
13233,"248,65",F,SOLTEIRO,1973-09-08 00:00:00,"248,65"
13234,"138,43",F,CASADO,1991-07-19 00:00:00,"138,43"
13235,"54,38",F,CASADO,1983-10-07 00:00:00,"54,38"
13236,"88,71",M,SOLTEIRO,1968-06-28 00:00:00,"88,71"
13237,"938,26",M,CASADO,1992-02-01 00:00:00,100
13238,"505,84",M,CASADO,1982-04-26 00:00:00,"505,84"
13239,"228,75",M,SOLTEIRO,1988-05-11 00:00:00,"228,75"
13240,"66,64",M,CASADO,1988-02-06 00:00:00,"66,64"
13241,"112,57",F,CASADO,1989-12-20 00:00:00,"112,57"
13242,"42,67",F,Outros,1991-08-01 00:00:00,"42,67"
13243,"122,09",F,CASADO,1992-07-02 00:00:00,"122,09"
13244,"56,25",M,CASADO,1991-09-13 00:00:00,"56,25"
13245,"489,3",F,SOLTEIRO,1987-07-14 00:00:00,150
13246,"164,2",M,CASADO,1990-09-06 00:00:00,"164,2"
13247,"160,85",F,Outros,1990-12-18 00:00:00,"160,85"
13248,"67,72",M,CASADO,1987-05-22 00:00:00,"67,72"
13249,"76,2",M,CASADO,1994-02-28 00:00:00,"76,2"
13250,"85,51",M,CASADO,1995-01-03 00:00:00,"85,51"
13251,"260,64",F,CASADO,1996-08-31 00:00:00,"65,16"
13252,"163,97",M,CASADO,1990-10-24 00:00:00,"163,97"
13253,"126,72",F,CASADO,1984-10-29 00:00:00,"126,72"
13254,"34,65",F,CASADO,1977-06-03 00:00:00,"34,65"
13255,"65,91",M,CASADO,1982-10-02 00:00:00,"65,91"
13256,"729,59",M,SOLTEIRO,1966-01-30 00:00:00,"729,59"
13257,"545,5",F,CASADO,1993-10-11 00:00:00,250
13258,"231,37",F,CASADO,1991-01-26 00:00:00,"231,37"
13259,"476,95",M,CASADO,1990-04-03 00:00:00,"476,95"
13260,"240,37",F,CASADO,1992-07-25 00:00:00,"240,37"
13261,"645,03",F,CASADO,1981-09-16 00:00:00,"645,03"
13262,"219,69",F,CASADO,1985-07-07 00:00:00,"219,69"
13263,"263,88",F,SOLTEIRO,1971-10-24 00:00:00,"131,94"
13264,"589,01",M,CASADO,1995-08-03 00:00:00,230
13265,"589,01",M,CASADO,1995-08-03 00:00:00,"359,01"
13266,"2.572,65",F,CASADO,1982-04-11 00:00:00,"2.572,65"
13267,"1.144,76",F,SOLTEIRO,1972-06-19 00:00:00,"1.144,76"
13268,"1.851,59",F,CASADO,1994-05-23 00:00:00,"1.851,59"
13269,"507,97",F,CASADO,1984-06-24 00:00:00,"507,97"
13270,"407,16",M,CASADO,1994-10-27 00:00:00,"203,58"
13271,"1.415,38",F,CASADO,1992-11-18 00:00:00,"1.415,38"
13272,"1.084,79",M,SOLTEIRO,1969-07-23 00:00:00,"1.084,79"
13273,"133,52",F,SOLTEIRO,1964-10-16 00:00:00,"133,52"
13274,"241,36",M,CASADO,1996-05-25 00:00:00,"241,36"
13275,"1.242,01",F,CASADO,1993-01-08 00:00:00,"1.242,01"
13276,"41,5",F,SOLTEIRO,1965-10-10 00:00:00,"41,5"
13277,"1.140,22",M,CASADO,1996-03-14 00:00:00,340
